"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"9213";2014-12-31;0,5;NA;0;0;0;NA
"9312";2015-03-31;0,5;NA;0;0;0;NA
"946";2015-06-30;0,5;NA;0;0;0;NA
"6614";2008-06-30;0,5;NA;0;0;0;NA
"6715";2008-09-30;0,5;NA;-1;0;0;NA
"6810";2008-12-31;0,5;NA;0;0;-1;NA
"6912";2009-03-31;0,5;NA;0;1;0;NA
"7016";2009-06-30;0,5;NA;0;0;0;NA
"7114";2009-09-30;0,5;NA;0;1;0;NA
"7215";2009-12-31;0,5;NA;0;1;0;NA
"7317";2010-03-31;0,5;NA;0;0;0;NA
"7414";2010-06-30;0,5;NA;-1;0;-1;NA
"7514";2010-09-30;0,5;NA;-2;-1;0;NA
"7613";2010-12-31;0,5;NA;-1;0;-1;NA
"7713";2011-03-31;0,5;NA;-2;-1;-1;NA
"7812";2011-06-30;0,5;NA;0;0;0;NA
"7914";2011-09-30;0,5;NA;0;0;-1;NA
"8014";2011-12-31;0,5;NA;0;-1;-1;NA
"8113";2012-03-31;0,5;NA;-2;-1;-1;NA
"8211";2012-06-30;0,5;NA;-1;0;1;NA
"8316";2012-09-30;0,5;-2;-1;0;-1;NA
"8413";2012-12-31;0,5;1;0;0;0;NA
"8511";2013-03-31;0,5;0;-1;-1;0;NA
"8610";2013-06-30;0,5;0;0;-1;-1;NA
"879";2013-09-30;0,5;-2;-2;0;-1;NA
"8815";2013-12-31;0,5;NA;0;0;0;NA
"919";2014-09-30;0,5;-1;-1;-1;-1;NA
"9214";2014-12-31;0,5;0;-1;-1;-1;NA
"9313";2015-03-31;0,5;-1;-1;0;-1;NA
"947";2015-06-30;0,5;-1;0;0;-1;NA
"8414";2012-12-31;0,5;NA;0;0;-1;NA
"8710";2013-09-30;0,5;NA;-2;-1;-2;NA
"948";2015-06-30;0,5;0;0;0;0;NA
"649";2007-12-31;0,5;NA;0;NA;NA;NA
"6913";2009-03-31;0,5;NA;0;NA;NA;NA
"7017";2009-06-30;0,5;NA;-1;NA;NA;NA
"7115";2009-09-30;0,5;NA;0;0;0;NA
"7515";2010-09-30;0,5;NA;0;1;NA;NA
"7614";2010-12-31;0,5;NA;0;0;0;NA
"8114";2012-03-31;0,5;NA;-1;NA;NA;NA
"8317";2012-09-30;0,5;0;0;0;0;NA
"8415";2012-12-31;0,5;0;0;0;0;NA
"8512";2013-03-31;0,5;NA;-1;-1;-1;NA
"8611";2013-06-30;0,5;0;0;0;0;NA
"8711";2013-09-30;0,5;NA;1;1;1;NA
"8816";2013-12-31;0,5;NA;0;0;-1;NA
"949";2015-06-30;0,4;0;0;0;0;NA
"549";2005-06-30;0,5;NA;0;0;0;NA
"579";2006-03-31;0,5;NA;-1;0;-1;NA
"589";2006-06-30;0,5;NA;0;0;0;NA
"5910";2006-09-30;0,5;NA;0;0;0;NA
"6011";2006-12-31;0,5;NA;0;0;0;NA
"617";2007-03-31;0,5;NA;-1;-1;-2;NA
"626";2007-06-30;0,5;NA;1;0;1;NA
"638";2007-09-30;0,5;NA;0;0;1;NA
"6410";2007-12-31;0,5;NA;-1;-1;0;NA
"659";2008-03-31;0,5;NA;-1;-1;-1;NA
"6615";2008-06-30;0,5;NA;0;0;0;NA
"6716";2008-09-30;0,5;NA;0;0;0;NA
"6914";2009-03-31;0,5;NA;-1;0;0;NA
"7018";2009-06-30;0,5;NA;0;0;0;NA
"7116";2009-09-30;0,5;NA;1;1;1;NA
"7415";2010-06-30;0,5;NA;0;0;0;NA
